olympiad_id,contestant_id,prizes_text
209,5256,Улсын эрх хотоос
219,1175,Мөнгөн медаль
208,145606,Улсын эрх хотоос
209,1119,Улсын эрх хотоос
208,24496,Улсын эрх дүүргээс
216,20363,Улсын эрх аймгаас
208,12930,Улсын эрх хотоос
208,78517,Улсын эрх дүүргээс
219,6135,Хүрэл медаль
219,55507,Хүрэл медаль
209,4694,Улсын эрх хотоос
208,14754,Улсын эрх хотоос
211,261,Улсын эрх хотоос
209,14255,Улсын эрх хотоос
219,25840,Хүрэл медаль
209,70772,Улсын эрх хотоос
208,14610,Улсын эрх хотоос
208,13124,Улсын эрх дүүргээс
208,13243,Улсын эрх хотоос
211,20405,Улсын эрх дүүргээс
208,27161,Улсын эрх аймгаас
208,13673,Улсын эрх хотоос
213,82109,Улсын эрх аймгаас (бүсийн оноогоор)
211,391,Улсын эрх дүүргээс
213,81407,Улсын эрх аймгаас
209,26561,Улсын эрх хотоос
209,13183,Улсын эрх хотоос
214,14463,Улсын эрх бүсээс
213,83158,Улсын эрх бүсээс
209,194419,Улсын эрх хотоос
208,13401,Улсын эрх хотоос
218,180485,Мөнгөн медаль
208,108325,Улсын эрх дүүргээс
209,13155,Улсын эрх хотоос
220,16337,Хүрэл медаль
214,173162,Улсын эрх аймгаас
219,12866,Алтан медаль
219,4052,Мөнгөн медаль
208,181832,Улсын эрх дүүргээс
209,15699,Улсын эрх дүүргээс
214,428,Улсын эрх аймгаас
208,12619,Улсын эрх хотоос
59,390,Хүрэл
219,17225,Мөнгөн медаль
208,113788,Улсын эрх дүүргээс
218,23267,Хүрэл медаль
213,84264,Оноо тэнцүү
187,22651,Алтан медаль
209,123195,Улсын эрх дүүргээс
208,82855,Улсын эрх хотоос
208,12548,Улсын эрх хотоос
219,13179,Хүрэл медаль
209,883,Улсын эрх хотоос
209,709,Улсын эрх дүүргээс
209,75400,Улсын эрх дүүргээс
216,71595,Улсын эрх аймгаас
209,35745,Улсын эрх хотоос
211,715,Улсын эрх дүүргээс
208,17844,Улсын эрх дүүргээс
216,101188,Улсын эрх аймгаас
214,77766,Улсын эрх бүсээс
219,4694,Хүрэл медаль
218,13180,Хүрэл медаль
218,21045,Хүрэл медаль
218,23452,Хүрэл медаль
219,15805,Хүрэл медаль
218,16743,Хүрэл медаль
209,1175,Улсын эрх дүүргээс/хотоос
218,68458,Алтан медаль
211,70780,Улсын эрх дүүргээс
213,129784,Оноо тэнцүү
209,6135,Улсын эрх хотоос
218,19607,Хүрэл медаль
209,55507,Улсын эрх дүүргээс
213,180132,Улсын эрх аймгаас
208,12534,Улсын эрх дүүргээс
211,18857,Улсын эрх хотоос
208,194371,Улсын эрх хотоос
211,20416,Улсын эрх хотоос
187,5256,Алтан медаль
216,73439,Улсын эрх бүсээс
209,6647,Улсын эрх хотоос
220,2327,Мөнгөн медаль
213,16743,Улсын эрх аймгаас
219,21469,Мөнгөн медаль
218,12528,Хүрэл медаль
208,112528,Улсын эрх хотоос
59,3279,Мөнгө
219,5256,Мөнгөн медаль
208,26170,Улсын эрх хотоос
218,12930,Мөнгөн медаль
208,78315,Улсын эрх дүүргээс
211,107971,Улсын эрх дүүргээс
208,180485,Улсын эрх хотоос
218,78517,Хүрэл медаль
209,12866,Улсын эрх дүүргээс
211,183775,Улсын эрх дүүргээс
211,12335,Улсын эрх хотоос
220,220681,Алтан медаль
219,14255,Хүрэл медаль
219,883,Хүрэл медаль
218,17844,Мөнгөн медаль
208,41969,Улсын эрх дүүргээс
209,17225,Улсын эрх дүүргээс/хотоос
209,20770,Улсын эрх хотоос
220,18857,Хүрэл медаль
214,82524,Улсын эрх бүсээс
208,14581,Улсын эрх аймгаас
59,1132,Алт
209,68247,Улсын эрх хотоос
209,13179,Улсын эрх хотоос
211,399,Улсын эрх дүүргээс
209,25840,Улсын эрх хотоос
219,194419,Хүрэл медаль
213,136446,Улсын эрх бүсээс
218,108325,Хүрэл медаль
208,21045,Улсын эрх хотоос
208,12469,Улсын эрх хотоос
208,12533,Улсын эрх хотоос
208,23452,Улсын эрх хотоос
209,15805,Улсын эрх аймгаас
213,23805,Улсын эрх бүсээс
209,22651,Улсын эрх дүүргээс
219,15699,Хүрэл медаль
216,108730,Улсын эрх аймгаас
220,176600,Мөнгөн медаль
209,13547,Улсын эрх дүүргээс
216,4235,Улсын эрх бүсээс
214,21417,Улсын эрх аймгаас
208,23955,Улсын эрх хотоос
214,6132,Улсын эрх бүсээс
220,715,Хүрэл медаль
218,112528,Мөнгөн медаль
209,13867,Улсын эрх хотоос
208,19607,Улсын эрх хотоос
214,2205,Улсын эрх аймгаас
209,4052,Улсын эрх хотоос
216,3517,Улсын эрх аймгаас
211,1132,Улсын эрх хотоос
211,159502,Улсын эрх дүүргээс
211,12481,Улсын эрх дүүргээс
216,5570,Бүсийн эрх аваагүй
208,12528,Улсын эрх дүүргээс
216,246,Бүсийн эрх аймгаас (бүсийн оноогоор)
