=== НИЙТ ТАЙЛАН - 2026-01-02 16:17:49 ===
Mode: DRY RUN

Нийт province: 13
Нийт хэрэглэгч олдоогүй: 353
Нийт аймаг таарахгүй: 0
Нийт олимпиад алдаа: 0
Нийт устсан групп: 0

Province бүрийн алдаануудын тоо:
================================================================================
Архангай аймаг: 2 тохиолдол
  - Хэрэглэгч олдоогүй: 2
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Баян-Өлгий аймаг: 28 тохиолдол
  - Хэрэглэгч олдоогүй: 28
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Баянгол дүүрэг: 29 тохиолдол
  - Хэрэглэгч олдоогүй: 29
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Баянхонгор аймаг: 31 тохиолдол
  - Хэрэглэгч олдоогүй: 31
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Дархан-Уул аймаг: 15 тохиолдол
  - Хэрэглэгч олдоогүй: 15
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Дорнод аймаг: 50 тохиолдол
  - Хэрэглэгч олдоогүй: 50
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Дундговь аймаг: 2 тохиолдол
  - Хэрэглэгч олдоогүй: 2
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Завхан аймаг: 28 тохиолдол
  - Хэрэглэгч олдоогүй: 28
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Орхон аймаг: 138 тохиолдол
  - Хэрэглэгч олдоогүй: 138
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Увс аймаг: 18 тохиолдол
  - Хэрэглэгч олдоогүй: 18
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Ховд аймаг: 1 тохиолдол
  - Хэрэглэгч олдоогүй: 1
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Хэнтий аймаг: 1 тохиолдол
  - Хэрэглэгч олдоогүй: 1
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

Чингэлтэй дүүрэг: 10 тохиолдол
  - Хэрэглэгч олдоогүй: 10
  - Аймаг таарахгүй: 0
  - Олимпиад алдаа: 0
  - Устсан групп: 0

