province_id,school_text,label_school_id
17,Цээл,17
28,1-р сургууль,28
28,Сант,28
12,Эрдмийн Сан,12
3,Номундалай,3
3,Соого Сейкео,3
7,2 дугаар сургууль,7
30,5 дугаар сургууль,30
25,48,25
28,1,28
25,Улаанбаатар Эмпати сургууль,25
29,114-р сургууль,29
18,Эрдмийн эхлэл,18
17,Цээл,17
27,162-р сургууль,27
25,84-р сургууль,25
9,1-р сургууль,9
25,Шинэ Монгол,25
28,Нэст Эдүкэйшн,28
17,Угтаалцайдам,17
30,Олонлог Эгзэ,30
27,153-р сургууль,27
28,Шинэ үе,28
25,Шинэ Монгол,25
18,Эрдмийн эхлэл,18
29,114-р сургууль,29
21,Өмнөдэлгэр,21
24,Номт наран,24
29,52-р сургууль,29
18,Эрдмийн эхлэл,18
29,60-р сургууль,29
25,84-р сургууль,25
28,Сант,28
10,Хүмүүнлэг ЕБС,10
16,Мандал 5-р сургууль,16
24,Эрдмийн Өргөө,24
27,162-р сургууль,27
24,47-р сургууль,24
29,52-р сургууль,29
28,Сант,28
7,Од сургууль,7
19,6,19
7,Од сургууль,7
27,Хөгжил сургууль,27
12,Эрдмийн сан,12
17,Цээл,17
29,Шинэ Зуун Билэг,29
28,31,28
6,"Сүмбэр, 2-р сургууль",6
24,Оюут сургууль,24
25,84-р сургууль,25
25,Амгалан Цогцолбор,25
28,11-р сургууль,28
17,Хүмүүн,17
27,162-р сургууль,27
28,11-р сургууль,28
28,11-р сургууль,28
25,Монгол тэмүүлэл,25
10,Эрдэнэдалай,10
13,1-р сургууль,13
12,ЕБ-ын 4 дүгээр сургууль,12
25,Шинэ Монгол,25
10,Дэрэн ЕБС,10
7,Оюуны-Ирээдүй сургууль,7
28,1,28
25,68-р сургууль,25
17,Цээл,17
3,Төгс Алгоритм,3
11,Баянтэс,11
27,153-р сургууль,27
25,97-р сургууль,25
25,97,25
25,Шилдэг,25
28,1,28
12,ЕБ-ын 8 дугаар сургууль,12
29,163-р сургууль,29
28,Сант,28
29,130-р сургууль,29
25,Шинэ Монгол,25
17,Лүн,17
17,Дэлгэрхаан,17
29,163-р сургууль,29
18,1р сургууль,18
17,Баянчандмань,17
29,60-р сургууль,29
24,28-р сургууль,24
27,153-р сургууль,27
21,Дэлгэрхаан,21
7,Од сургууль,7
29,161,29
17,Лүн,17
5,3-р сургууль,5
27,Хөгжил сургууль,27
28,11-р сургууль,28
24,Эрдмийн Өргөө,24
11,Баянтэс,11
28,Сант,28
27,153-р сургууль,27
28,Сант,28
28,сант,28
28,Сант,28
28,Сант,28
25,84-р сургууль,25
15,2 дүгээр сургууль,15
20,Рашаант,20
24,13-р сургууль,24
24,Шинэ эрин,24
24,Шинэ эхлэл,24
28,Сант,28
29,118-р сургууль,29
12,Эрдмийн Сан,12
26,"Налайх дүүрэг, Голомт",26
17,Алтанбулаг,17
28,сант,28
28,Сант,28
28,Шинэ Үе,28
25,Шинэ Монгол,25
25,Шинэ Монгол,25
29,52-р сургууль,29
17,Хүмүүн,17
4,Дашинчилэн сумын ЕБС,4
29,15-р сургууль,29
20,Дэлгэрмөрөн,20
27,162-р сургууль,27
28,Сант,28
28,Сант,28
29,114-р сургууль,29
18,Эрдмийн эхлэл,18
2,Бастама,2
21,Дадал,21
20,Ирээдүй,20
19,Булган сумын 1-р сургууль,19
24,28-р сургууль,24
28,31,28
28,Сант,28
28,Олула ТомЁ,28
29,Шинэ Зуун Билэг,29
24,Шинэ Эрин,24
25,НЕБ-ын Багатэнгэр сургууль,25
29,163-р сургууль,29
18,Эрдмийн эхлэл,18
21,Хэрлэн 1,21
25,Олонлог Академи,25
28,Сант сургууль,28
29,Орчлон,29
29,Orchlon,29
3,Соого Сейкео,3
17,Эрдэнэ,17
21,Бор-Өндөр,21
19,Мөст сумын сургууль,19
11,Баянтэс,11
28,31,28
2,Дарын Цогцолбор сургууль,2
17,Цээл,17
29,Шинэ Зуун Билэг,29
28,11-р сургууль,28
17,Угтаалцайдам,17
28,11-р сургууль,28
29,114-р сургууль,29
21,Өмнөдэлгэр,21
28,СБД 11-р сургууль,28
5,Хөхморьт,5
12,1-р сургууль,12
17,Лүн,17
17,Цээл,17
25,Шилдэг,25
11,Завхан 3-р сургууль,11
22,Оюуны-Эрин,22
18,1-р сургууль,18
29,Олонлог төв,29
3,Төгс Алгоритм,3
27,153-р сургууль,27
25,Шинэмонгол,25
28,11,28
29,34 дүгээр сургууль,29
29,52,29
27,162-р сургууль,27
25,79-р сургууль,25
28,Шинэ-үе,28
1,Хотонт,1
24,Эрхэт эрдэм,24
25,Шинэ Монгол,25
11,Сантмаргац ЕБС,11
12,Эрдмийн сан,12
3,Төгс Алгоритм,3
3,Төгс Алгоритм,3
26,"Налайх дүүрэг, Голомт",26
25,НЕБ УБ сургууль,25
29,Шинэ-Өнөөдөр,29
7,Од сургууль,7
27,162-р сургууль,27
28,31,28
29,118-р сургууль,29
21,Бор-Өндөр,21
28,Дойче шуль,28
7,Од сургууль,7
27,107-р сургууль,27
13,Арвайхээр сумын ЕБ-ын 2-р сургууль,13
28,Дойче шуль,28
24,Шинэ эхлэл,24
28,11-р сургууль,28
18,Өмнөговь сум ЕБС,18
18,Цагаанхайрхан сумын ЕБС,18
28,Дойче шуль,28
24,Эрдмийн Ундраа /78/,24
24,Эрхэт Эрдэм,24
28,31,28
29,118-р сургууль,29
22,Боловсрол сургууль,22
27,162-р сургууль,27
13,Арвайхээр 2,13
29,Olonlog tuv,29
27,122-р сургууль,27
2,Дарын Цогцолбор сургууль,2
27,107-р сургууль,27
29,Hobby school of Ulaanbaatar,29
24,Шинэ эхлэл,24
25,Олонлог Академи,25
12,4,12
16,Хүдэр  сумын ЕБС,16
28,сант,28
29,52-р сургууль,29
20,Эрдмийн далай,20
11,Отгон ЕБС,11
27,9-р сургууль,27
26,119-р сургууль,26
17,Дэлгэрхаан,17
10,Цэгц билиг,10
27,153-р сургууль,27
24,Наран нэг,24
2,1-р сургууль,2
3,Төгс Алгоритм,3
7,Од цогцолбор,7
11,Завхан 3-р сургууль,11
25,133-р сургууль,25
25,133-р сургууль,25
19,Цаст-Алтай,19
27,162-р сургууль,27
5,Халиун,5
9,Баян-Уул ЕБС,9
27,Тольт сургууль,27
28,Нэст Эдүкэйшн,28
28,Нэст Эдүкэйшн,28
29,114,29
29,Hobby school of Ulaanbaatar,29
29,Hobby school of Ulaanbaatar,29
29,Hobby school,29
2,Дарын Цогцолбор сургууль,2
17,Зуунмод-5,17
25,48-р сургууль,25
27,162-р сургууль,27
24,20-р сургууль,24
29,Hobby school of Ulaanbaatar,29
30,23 дугаар сургууль,30
24,28-р сургууль,24
29,Орчлон,29
18,1-р цогцолбор сургууль,18
27,Хөгжил сургууль,27
29,Hobby school,29
10,Баянжаргалан,10
27,162-р сургууль,27
29,Hobby school of Ulaanbaatar,29
29,Hobby school of Ulaanbaatar,29
29,Шинэ Зуун Билэг,29
29,Шинэ Зуун Билэг,29
30,17 дугаар сургууль,30
5,4-р сургууль,5
18,Хяргас сумын ЕБС,18
13,Баян-Өндөр,13
7,Шинэ-Алхам,7
28,Шинэ Үе,28
29,114-р сургууль,29
3,Номгон,3
7,Шинэ-Алхам,7
27,153-р сургууль,27
28,ШУТИС-ийн сургууль,28
28,Сант,28
29,Hobby school of Ulaanbaatar,29
5,III сургууль,5
18,3-р сургууль,18
15,2 дүгээр сургууль,15
17,Цээл,17
27,162-р сургууль,27
28,Нэст Эдүкэйшн,28
15,2 дүгээр сургууль,15
24,Электрон жаал,24
29,34-р сургууль,29
29,130-р сургууль,29
17,Цонжин кибер боардинг,17
20,Галт,20
22,Оюуны-Эрин,22
11,Завхан 3-р сургууль,11
27,162-р сургууль,27
28,1,28
17,Баянчандмань,17
29,Шинэ өнөөдөр,29
29,Шинэ Монгол Харүмафүжи,29
29,32,29
27,162-р сургууль,27
29,52,29
28,Сант,28
29,130-р сургууль,29
10,Хүмүүнлэг ЕБС,10
24,Эрдмийн Ундраа,24
24,Шинэ Эрин ОУС,24
29,Шинэ Монгол Харүмафүжи,29
24,Шинэ эрин,24
24,New Era,24
24,Шинэ Эрин,24
29,52-р сургууль,29
12,ЕБ-ын 8 дугаар сургууль,12
12,Эрдмийн Сан,12
7,Од сургууль,7
17,Аргалант ЕБС,17
25,133-р сургууль,25
5,Дарив,5
10,ЦэгцБилиг,10
10,Цэгц билиг,10
10,Цэгц билиг,10
10,Цэгц билиг,10
10,Цэгц билиг,10
21,Тэмүүжин,21
19,Дөргөн сумын сургууль,19
14,1-сургууль,14
22,Боловсрол сургууль,22
28,11-р сургууль,28
25,Төгсдэлгэрэх,25
28,11,28
10,Цэгц билиг,10
11,Баянтэс,11
22,Сод,22
24,Наран нэг,24
29,52-р сургууль,29
27,107-р сургууль,27
27,151-р сургууль,27
28,1,28
29,15-р сургууль,29
28,35-р сургууль,28
10,ЦэгцБилиг,10
16,Мандал-5,16
28,1,28
17,Баян-Өнжүүл,17
13,Бат-Өлзий сумын ЕБ-ын 1-р сургууль,13
22,Оюуны эрин,22
29,Orchlon,29
10,Сайхан-Овоо сумын ЕБС,10
30,Олонлог Эгзэ,30
24,Наран нэг,24
27,162-р сургууль,27
29,Hobby school of Ulaanbaatar,29
2,Бастама,2
5,Хөхморьт,5
2,Баян-Өлгий Эмпати,2
9,1-р сургууль,9
11,Отгон ЕБС,11
28,11-р сургууль,28
17,Батсүмбэр,17
17,Лүн,17
17,Угтаалцайдам,17
24,Наран нэг,24
3,Номундалай,3
17,Цээл,17
3,Номун далай цогцолбор,3
9,1-р сургууль,9
8,Сайншанд I,8
11,Баянхайрхан ЕБС,11
25,97-р сургууль,25
25,111-р сургууль,25
28,11-р сургууль,28
28,31,28
17,Цээл,17
3,Номундалай,3
17,Цонжин кибер боардинг,17
28,35-р сургууль,28
30,Олонлог Эгзэ,30
27,162-р сургууль,27
25,92-р сургууль,25
25,92-р сургууль,25
25,92-р сургууль,25
25,92-р сургууль,25
25,92-р сургууль,25
25,92-р сургууль,25
25,92-р сургууль,25
25,92-р сургууль,25
28,11-р сургууль,28
24,28-р сургууль,24
28,31,28
26,109-р сургууль,26
3,Номундалай,3
15,Түмэнцогт сум Ебс,15
25,92-р сургууль,25
25,92-р сургууль,25
28,Сант,28
29,Шинэ Монгол Харүмафүжи,29
5,Дарив,5
25,142-р сургууль,25
25,Монгол тэмүүлэл,25
28,11-р сургууль,28
13,Арвайхээр сумын ЕБ-ын 2-р сургууль,13
30,17,30
30,17-р сургууль,30
12,ЕБ-ын Уран-Эгшиг сургууль,12
30,17-р сургууль,30
27,107-р сургууль,27
25,33-р сургууль,25
29,ШМХФ,29
25,Шилдэг,25
25,Шинэ Монгол,25
29,Шинэ Монгол Харүмафүжи,29
3,Соого Сейкео,3
24,Эрдмийн Өргөө,24
27,162-р сургууль,27
28,1,28
3,Номундалай,3
28,Шинэ үе,28
29,163-р сургууль,29
3,Номундалай,3
3,Номундалай,3
3,Номундалай,3
3,Баянцагаан,3
3,Номундалай,3
3,БаянцагаанЕБС,3
28,Дойче шуле,28
3,Баянцагаан ЕБС,3
28,1-сургууль,28
28,1,28
28,11-р сургууль,28
17,Угтаалцайдам,17
7,2 дугаар сургууль,7
11,Завхан 3-р сургууль,11
25,33-р сургууль,25
28,1,28
29,Шинэ Монгол Харүмафүжи,29
29,Канад сургууль,29
25,33-р сургууль,25
25,84-р сургууль,25
25,84,25
28,11-р сургууль,28
29,34-сургууль,29
27,106-р сургууль,27
24,47-р сургууль,24
25,84-р,25
28,1,28
24,11-р сургууль,28
29,7-р сургууль,29
27,151-р сургууль,27
2,1-р сургууль,2
27,162-р сургууль,27
29,18-р сургууль,29
2,Баян-Өлгий Эмпати,2
20,Эрдмийн далай,20
29,163,29
17,Баянчандмань,17
25,14,25
25,79,25
25,84-р сургууль,25
29,118-р сургууль,29
27,62р сургууль,27
27,162-р сургууль,27
25,Shine Mongol,25
28,31,28
25,ШМТК,25
1,Чулуут ЕБС,1
27,123 дугаар сургууль,27
27,123 дугаар сургууль,27
27,123 дугаар сургууль,27
28,Нэст Эдүкэйшн сургууль,28
13,Бат-Өлзий сумын ЕБ-ын 1-р сургууль,13
22,Боловсрол сургууль,22
22,Боловсрол сургууль,22
22,Боловсрол сургууль,22
27,123 дугаар сургууль,27
27,123 дугаар сургууль,27
27,Хөгжил сургууль,27
27,162-р сургууль,27
25,НЕБ УБ сургуулв,25
29,163-р сургууль,29
5,4-р сургууль,5
3,Номгон,3
28,Дойче шуль,28
28,Дойче шуле,28
22,Боловсрол,22
24,Электрон жаал,24
25,14,25
20,Тосонцэнгэл,20
25,Oyunlag,25
28,Дойче шуле,28
28,Дойче шуле,28
28,Дойче шуле,28
28,Дойче Шуле,28
25,126-р сургууль,25
28,11-р сургууль,28
29,Шинэ Зуун Билэг,29
24,Эрдмийн Өргөө,24
25,97,25
12,Эрдмийн Сан,12
28,Дойче Шуле,28
25,Шилдэг,25
25,92,25
25,102 -р сургууль,25
17,Баянчандмань,17
21,Баян-Адарга,21
25,92-р сургууль,25
25,92-р сургууль,25
18,Тариалан,18
26,119 -р сургууль,26
25,21,25
28,Дойче шуль,28
28,Дойче шуль,28
1,3-р сургууль,1
25,33,25
29,130-р сургууль,29
28,Дойче шуль,28
28,Дойче шуль,28
28,Дойче шуль,28
1,1-р сургууль,1
27,9-р сургууль,27
25,48,25
29,7-р сургууль,29
25,14-р сургууль,25
25,48,25
29,7-р сургууль,29
28,Дойче Шуле,28
28,Дойче шуле,28
25,48,25
25,Улаанбаатар Эмпати,25
5,Дарив,5
17,Цээл,17
29,7-р сургууль,29
25,48,25
25,48,25
25,48,25
25,48,25
17,Алтанбулаг,17
27,162-р сургууль,27
12,Орхон Эмпати,12
25,48,25
25,48,25
25,48,25
17,Цонжин кибер боардинг,17
7,Монгол-Оюу,7
27,162-р сургууль,27
25,48,25
16,СБ-1,16
24,Эхлэл дунд сургууль,24
25,Нийслэлийн 79-р сургууль,25
2,1-р сургууль,2
29,Шинэ Зуун Билэг,29
27,162-р сургууль,27
25,48,25
29,7-р сургууль,29
29,161,29
26,109-р сургууль,26
29,7-р сургууль,29
25,48,25
25,48,25
25,48-р сургууль,25
25,92-р сургууль,25
29,Шинэ Монгол Харүмафүжи,29
16,СБ-1,16
25,14,25
25,48,25
25,48,25
25,48,25
25,48,25
25,Оюунлаг,25
5,Дарив,5
12,ЕБ-ын 14 дүгээр сургууль,12
1,2-р сургууль,1
27,162-р сургууль,27
25,48,25
25,Улаанбаатар Эмпати сургууль,25
29,Орчлон,29
18,Тариалан ЕБС,18
27,Хөгжил сургууль,27
25,48,25
25,48,25
25,48,25
25,48,25
5,Хөхморьт,5
29,7-р сургууль,29
25,21,25
28,1,28
13,Баян-Өндөр сумын ЕБ-ын сургууль,13
25,48,25
28,Шинэ үе,28
2,Баян-Өлгий Эмпати,2
28,Шинэ үе,28
18,Тэс сумын ЕБС,18
1,Тариат  ЕБС,1
11,Завхан 3-р сургууль,11
27,107-р сургууль,27
25,21,25
25,48,25
25,48,25
25,48,25
25,97-р сургууль,25
29,Цэлмэг дижитал сургууль,29
24,Эрдмийн Ундраа /78/,24
29,18-р сургууль,29
29,Шинэ Монгол Харүмафүжи,29
16,СБ-1,16
28,Сант,28
25,14,25
